File,Meth,Depth,Entropy
book2,Hash128,1,2299099
book2,Hash128,2,2413168
book2,Hash128,3,2549084
book2,Hash128,4,2586701
book2,Hash128,5,2606135
book2,Hash128,6,2651552
book2,Hash128,7,2673193
book2,Hash128,8,2694058
book2,Hash128,9,2696924
book2,Hash256,1,2299099
book2,Hash256,2,2260317
book2,Hash256,3,2402290
book2,Hash256,4,2479623
book2,Hash256,5,2537697
book2,Hash256,6,2565259
book2,Hash256,7,2594139
book2,Hash256,8,2605725
book2,Hash256,9,2653149
book2,Hash512,1,2299099
book2,Hash512,2,2104371
book2,Hash512,3,2259211
book2,Hash512,4,2338006
book2,Hash512,5,2415064
book2,Hash512,6,2427330
book2,Hash512,7,2477621
book2,Hash512,8,2518127
book2,Hash512,9,2539353
book2,Hash1024,1,2298987
book2,Hash1024,2,2009351
book2,Hash1024,3,2097073
book2,Hash1024,4,2192292
book2,Hash1024,5,2267902
book2,Hash1024,6,2320721
book2,Hash1024,7,2362944
book2,Hash1024,8,2393645
book2,Hash1024,9,2431708
book2,Hash2048,1,2298987
book2,Hash2048,2,1950865
book2,Hash2048,3,1945529
book2,Hash2048,4,2036534
book2,Hash2048,5,2127688
book2,Hash2048,6,2191664
book2,Hash2048,7,2221820
book2,Hash2048,8,2261095
book2,Hash2048,9,2300818
book2,Hash4096,1,2298987
book2,Hash4096,2,1922301
book2,Hash4096,3,1822903
book2,Hash4096,4,1888675
book2,Hash4096,5,1972540
book2,Hash4096,6,2037319
book2,Hash4096,7,2077755
book2,Hash4096,8,2124518
book2,Hash4096,9,2151310
book2,Hash8192,1,2298987
book2,Hash8192,2,1903383
book2,Hash8192,3,1730523
book2,Hash8192,4,1767110
book2,Hash8192,5,1827779
book2,Hash8192,6,1878704
book2,Hash8192,7,1922630
book2,Hash8192,8,1962707
book2,Hash8192,9,1993218
book2,Hash16384,1,2298987
book2,Hash16384,2,1870067
book2,Hash16384,3,1687502
book2,Hash16384,4,1681516
book2,Hash16384,5,1720274
book2,Hash16384,6,1760970
book2,Hash16384,7,1794800
book2,Hash16384,8,1826716
book2,Hash16384,9,1852293
book2,Hash32768,1,2298987
book2,Hash32768,2,1870067
book2,Hash32768,3,1653294
book2,Hash32768,4,1627147
book2,Hash32768,5,1645423
book2,Hash32768,6,1670425
book2,Hash32768,7,1694091
book2,Hash32768,8,1717517
book2,Hash32768,9,1740068
book2,Hash65536,1,2298987
book2,Hash65536,2,1870067
book2,Hash65536,3,1639498
book2,Hash65536,4,1599311
book2,Hash65536,5,1604448
book2,Hash65536,6,1619144
book2,Hash65536,7,1633578
book2,Hash65536,8,1647651
book2,Hash65536,9,1663143
book2,Hash131072,1,2298987
book2,Hash131072,2,1870067
book2,Hash131072,3,1625991
book2,Hash131072,4,1580841
book2,Hash131072,5,1579694
book2,Hash131072,6,1587038
book2,Hash131072,7,1595328
book2,Hash131072,8,1603808
book2,Hash131072,9,1612235
book2,Hash262144,1,2298987
book2,Hash262144,2,1870067
book2,Hash262144,3,1622851
book2,Hash262144,4,1572880
book2,Hash262144,5,1568395
book2,Hash262144,6,1572434
book2,Hash262144,7,1575470
book2,Hash262144,8,1579294
book2,Hash262144,9,1584416
book2,Hash524288,1,2298987
book2,Hash524288,2,1870067
book2,Hash524288,3,1621772
book2,Hash524288,4,1569723
book2,Hash524288,5,1564725
book2,Hash524288,6,1565542
book2,Hash524288,7,1567301
book2,Hash524288,8,1569208
book2,Hash524288,9,1571445
geo,Hash128,1,494737
geo,Hash128,2,522298.1
geo,Hash128,3,554042.9
geo,Hash128,4,572462
geo,Hash128,5,575847.2
geo,Hash128,6,581924.5
geo,Hash128,7,583808
geo,Hash128,8,588323.2
geo,Hash128,9,591598
geo,Hash256,1,496782.5
geo,Hash256,2,525212.8
geo,Hash256,3,559115.1
geo,Hash256,4,573762.2
geo,Hash256,5,580156.7
geo,Hash256,6,582458.2
geo,Hash256,7,582160
geo,Hash256,8,586834.6
geo,Hash256,9,592065.2
geo,Hash512,1,496782.5
geo,Hash512,2,509692.7
geo,Hash512,3,545056.3
geo,Hash512,4,560575.2
geo,Hash512,5,568161.6
geo,Hash512,6,574880.2
geo,Hash512,7,579489.7
geo,Hash512,8,579905.6
geo,Hash512,9,582389.9
geo,Hash1024,1,496764.5
geo,Hash1024,2,502768.9
geo,Hash1024,3,550250.2
geo,Hash1024,4,565112.4
geo,Hash1024,5,566208.3
geo,Hash1024,6,562003.4
geo,Hash1024,7,571558
geo,Hash1024,8,570717.1
geo,Hash1024,9,580371.5
geo,Hash2048,1,496764.5
geo,Hash2048,2,498283.8
geo,Hash2048,3,532416.2
geo,Hash2048,4,545427.3
geo,Hash2048,5,555236.4
geo,Hash2048,6,559387.6
geo,Hash2048,7,563446.8
geo,Hash2048,8,568984
geo,Hash2048,9,570961.3
geo,Hash4096,1,496764.5
geo,Hash4096,2,497601.5
geo,Hash4096,3,525101.1
geo,Hash4096,4,531484.9
geo,Hash4096,5,540033
geo,Hash4096,6,545239.5
geo,Hash4096,7,549969.7
geo,Hash4096,8,554591
geo,Hash4096,9,559374.1
geo,Hash8192,1,496764.5
geo,Hash8192,2,498657.4
geo,Hash8192,3,522900.7
geo,Hash8192,4,522026.6
geo,Hash8192,5,527928.6
geo,Hash8192,6,532502
geo,Hash8192,7,536719.1
geo,Hash8192,8,540681.6
geo,Hash8192,9,544078
geo,Hash16384,1,496764.5
geo,Hash16384,2,498923.2
geo,Hash16384,3,522248.9
geo,Hash16384,4,514551
geo,Hash16384,5,517886.8
geo,Hash16384,6,520976.5
geo,Hash16384,7,523562.3
geo,Hash16384,8,526621.5
geo,Hash16384,9,529366.3
geo,Hash32768,1,496764.5
geo,Hash32768,2,499219.4
geo,Hash32768,3,521422.9
geo,Hash32768,4,509960.6
geo,Hash32768,5,511989.7
geo,Hash32768,6,513575.2
geo,Hash32768,7,515021.6
geo,Hash32768,8,516560.2
geo,Hash32768,9,518241
geo,Hash65536,1,496764.5
geo,Hash65536,2,499219.4
geo,Hash65536,3,520707.7
geo,Hash65536,4,508352.4
geo,Hash65536,5,509122.2
geo,Hash65536,6,509733.2
geo,Hash65536,7,510389.7
geo,Hash65536,8,511269.9
geo,Hash65536,9,512135.3
geo,Hash131072,1,496764.5
geo,Hash131072,2,499219.4
geo,Hash131072,3,521799.5
geo,Hash131072,4,507968.8
geo,Hash131072,5,508094
geo,Hash131072,6,507977.5
geo,Hash131072,7,507998.5
geo,Hash131072,8,508628.8
geo,Hash131072,9,509044.7
geo,Hash262144,1,496764.5
geo,Hash262144,2,499219.4
geo,Hash262144,3,521841
geo,Hash262144,4,508009
geo,Hash262144,5,506755.9
geo,Hash262144,6,506748.5
geo,Hash262144,7,507031.7
geo,Hash262144,8,506857.2
geo,Hash262144,9,507149.9
geo,Hash524288,1,496764.5
geo,Hash524288,2,499444.4
geo,Hash524288,3,522032.4
geo,Hash524288,4,506953.9
geo,Hash524288,5,507393.2
geo,Hash524288,6,506552.2
geo,Hash524288,7,507314.8
geo,Hash524288,8,506692.7
geo,Hash524288,9,507393
news,Hash128,1,1570049
news,Hash128,2,1638784
news,Hash128,3,1704070
news,Hash128,4,1752846
news,Hash128,5,1754359
news,Hash128,6,1791021
news,Hash128,7,1832059
news,Hash128,8,1820721
news,Hash128,9,1855545
news,Hash256,1,1570049
news,Hash256,2,1566149
news,Hash256,3,1643483
news,Hash256,4,1684599
news,Hash256,5,1713328
news,Hash256,6,1737853
news,Hash256,7,1774359
news,Hash256,8,1779086
news,Hash256,9,1812267
